Date,Open
06/06/2017,5280.200195
07/06/2017,5261.419922
08/06/2017,5264.689941
09/06/2017,5275.990234
12/06/2017,5282.580078
13/06/2017,5254.140137
14/06/2017,5283.600098
15/06/2017,5235.359863
16/06/2017,5243.529785
19/06/2017,5305.220215
20/06/2017,5330.580078
21/06/2017,5273.000000
22/06/2017,5258.680176
23/06/2017,5273.240234
26/06/2017,5295.040039
27/06/2017,5282.870117
28/06/2017,5235.830078
29/06/2017,5268.229980
30/06/2017,5157.589844
03/07/2017,5151.189941
04/07/2017,5170.540039
05/07/2017,5174.790039
06/07/2017,5177.209961
07/07/2017,5149.790039
10/07/2017,5160.700195
11/07/2017,5172.029785
12/07/2017,5158.229980
13/07/2017,5228.930176
14/07/2017,5246.200195
17/07/2017,5238.410156
18/07/2017,5219.669922
19/07/2017,5196.129883
20/07/2017,5239.459961
21/07/2017,5188.919922
24/07/2017,5133.680176
25/07/2017,5130.529785
26/07/2017,5162.240234
27/07/2017,5181.149902
28/07/2017,5144.029785
31/07/2017,5127.629883
01/08/2017,5116.899902
02/08/2017,5122.379883
03/08/2017,5097.140137
04/08/2017,5122.399902
07/08/2017,5210.729980
08/08/2017,5200.200195
09/08/2017,5182.049805
10/08/2017,5140.990234
11/08/2017,5081.919922
14/08/2017,5082.870117
15/08/2017,5141.020020
16/08/2017,5159.100098
17/08/2017,5164.540039
18/08/2017,5103.470215
21/08/2017,5091.310059
22/08/2017,5112.129883
23/08/2017,5125.029785
24/08/2017,5127.709961
25/08/2017,5121.479980
28/08/2017,5076.470215
29/08/2017,5035.379883
30/08/2017,5063.240234
31/08/2017,5083.120117
01/09/2017,5117.189941
04/09/2017,5088.279785
05/09/2017,5107.189941
06/09/2017,5054.319824
07/09/2017,5118.839844
08/09/2017,5099.310059
11/09/2017,5145.779785
12/09/2017,5192.750000
13/09/2017,5205.209961
14/09/2017,5205.180176
15/09/2017,5220.890137
18/09/2017,5231.990234
19/09/2017,5223.290039
20/09/2017,5230.509766
21/09/2017,5259.020020
